"OID_";"UIDENTSTLAE";"ULAND";"UREGBEZ";"UKREIS";"UGEMEINDE";"UJAHR";"UMONAT";"USTUNDE";"UWOCHENTAG";"UKATEGORIE";"UART";"UTYP1";"ULICHTVERH";"IstStrassenzustand";"IstRad";"IstPKW";"IstFuss";"IstKrad";"IstGkfz";"IstSonstige";"LINREFX";"LINREFY";"XGCSWGS84";"YGCSWGS84";"PLST"
265505;8,23E+018;8;2;12;0;2023;1;14;1;3;0;1;0;1;1;0;0;0;0;0;451449.368724698;5428535.25338133;8.33611308500002;49.0078006260001;2
202914;8,23E+018;8;2;12;0;2023;1;22;1;2;0;7;1;1;1;0;0;0;0;0;457170.9393;5427573.362;8.41444738600006;48.99957189;1
83279;8,23E+018;8;2;12;0;2023;1;9;2;3;0;7;0;0;1;0;0;0;0;0;455224.7434;5429012.7645;8.38768210400002;49.012381352;1
203006;8,23E+018;8;2;12;0;2023;1;9;2;3;0;7;0;0;1;0;0;0;0;0;455618.0168;5426838.7556;8.39329754000005;48.992854321;1
202899;8,23E+018;8;2;12;0;2023;1;11;2;3;3;6;0;0;1;1;0;0;0;0;455616.0165;5427034.3349;8.39324883200004;48.9946134370001;1
202734;8,23E+018;8;2;12;0;2023;1;14;2;3;5;3;0;0;1;0;0;0;0;0;456886.9724;5427629.9594;8.41055923900007;49.000061224;1
80473;8,23E+018;8;2;12;0;2023;1;15;2;2;0;7;0;1;1;0;0;0;0;0;455999.054;5429209.594;8.39824912600005;49.014207556;1
202420;8,23E+018;8;2;12;0;2023;1;18;2;3;5;2;2;1;1;1;0;0;0;1;458408.451;5431214.764;8.43099235500006;49.0324114580001;1
83842;8,23E+018;8;2;12;0;2023;1;7;3;3;5;2;1;0;1;1;0;0;0;0;452903.2313;5427369.6572;8.35612721400003;48.9974287040001;1
202396;8,23E+018;8;2;12;0;2023;1;7;3;3;0;5;1;0;1;1;0;0;0;0;460525.7928;5427641.61;8.46030559500002;49.0004094450001;1
202869;8,23E+018;8;2;12;0;2023;1;8;3;3;0;7;0;0;1;0;0;0;0;0;456328.5211;5428699.3828;8.40280951200003;49.009641559;1
202703;8,23E+018;8;2;12;0;2023;1;12;3;3;0;2;0;0;1;1;0;0;0;0;456005.3469;5428252.9704;8.39843886000006;49.0056030750001;1
202550;8,23E+018;8;2;12;0;2023;1;13;3;3;5;3;0;0;1;0;0;0;0;0;457352.5687;5428612.4148;8.41682133200004;49.0089308940001;1
202549;8,23E+018;8;2;12;0;2023;1;17;3;2;0;7;0;0;1;0;0;0;0;0;459988.0214;5427171.9245;8.45299975800003;48.9961499020001;1
202668;8,23E+018;8;2;12;0;2023;1;8;4;3;0;1;0;2;1;0;0;0;0;0;459330.639;5428255.356;8.44390468700004;49.00585262;1
202529;8,23E+018;8;2;12;0;2023;1;17;4;3;6;4;2;0;1;0;1;0;0;0;455391.1086;5428692.8306;8.38999223300004;49.009515568;1
202844;8,23E+018;8;2;12;0;2023;1;20;4;3;0;1;2;0;1;0;0;0;0;0;455771.1227;5428743.3464;8.39518295700003;49.0099973170001;1
202814;8,23E+018;8;2;12;0;2023;1;8;5;3;5;2;0;0;1;1;0;0;0;0;456864.665;5428489.6437;8.41016294800005;49.0077926400001;1
202642;8,23E+018;8;2;12;0;2023;1;16;5;3;0;7;0;1;1;0;0;0;0;0;455434.3382;5428669.6428;8.39058589000007;49.0093101150001;1
202645;8,23E+018;8;2;12;0;2023;1;18;5;3;5;3;2;0;1;1;0;0;0;0;455779.7795;5428963.8034;8.39527731300007;49.011980969;1
202955;8,23E+018;8;2;12;0;2023;1;19;5;3;1;5;2;0;1;1;0;0;0;0;453682.763;5432371.4193;8.36621269200003;49.0424787060001;1
202497;8,23E+018;8;2;12;0;2023;1;20;5;3;0;1;2;0;1;0;0;0;0;0;454445.9165;5428297.7655;8.37711225100003;49.0058928770001;1
202643;8,23E+018;8;2;12;0;2023;1;21;5;3;5;2;2;0;1;1;0;0;0;0;456886.628;5428291.309;8.41048431700006;49.0060101290001;1
202474;8,23E+018;8;2;12;0;2023;1;8;6;3;3;6;0;0;1;0;0;0;0;0;454651.9983;5428514.4747;8.37990575000003;49.0078573700001;1
202797;8,23E+018;8;2;12;0;2023;1;15;6;3;5;7;0;1;1;1;0;0;0;0;460122.551;5430443.3838;8.45451741700003;49.0255860090001;1
202476;8,23E+018;8;2;12;0;2023;1;17;6;3;5;3;2;0;1;1;0;0;0;0;460412.1342;5427284.4703;8.45878652700003;48.9971896170001;1
202614;8,23E+018;8;2;12;0;2023;1;22;6;3;4;6;2;1;1;1;0;0;0;0;453062.4192;5430667.382;8.35792200800006;49.0271039690001;1
202598;8,23E+018;8;2;12;0;2023;1;12;7;3;5;3;0;0;1;1;0;0;0;0;455431.7818;5427605.3087;8.39066775600003;48.9997361390001;1
202280;8,23E+018;8;2;12;0;2023;2;15;1;2;5;3;0;1;1;0;0;0;0;1;458749.0373;5429345.5239;8.43584172800007;49.0156202580001;1
203985;8,23E+018;8;2;12;0;2023;2;22;1;2;0;7;2;0;1;0;0;0;0;0;455746.1499;5428574.1532;8.39485992600004;49.0084736160001;1
203820;8,23E+018;8;2;12;0;2023;2;10;2;3;0;7;0;0;1;0;0;0;0;0;451669.6907;5428366.9373;8.33914561900002;49.006303916;1
83016;8,23E+018;8;2;12;0;2023;2;12;2;3;1;5;0;0;1;0;0;0;1;0;455667.5379;5427513.2637;8.39390084700005;48.9989251600001;1
83019;8,23E+018;8;2;12;0;2023;2;14;2;3;2;2;0;0;1;1;0;0;0;0;456009.14;5429124.787;8.39839624500007;49.0134454280001;1
204167;8,23E+018;8;2;12;0;2023;2;16;2;3;5;2;0;0;1;1;0;0;0;0;460314.1615;5425092.0474;8.45766126200005;48.9774619720001;1
204171;8,23E+018;8;2;12;0;2023;2;20;2;3;5;2;2;0;1;1;0;0;0;0;460094.179;5427196.906;8.45444850600006;48.9963814860001;1
203925;8,23E+018;8;2;12;0;2023;2;6;3;3;5;3;0;0;1;1;0;0;0;0;454711.5749;5427522.7653;8.38083096000003;48.9989412350001;1
85473;8,23E+018;8;2;12;0;2023;2;12;3;3;5;3;0;0;1;1;0;0;0;0;452781.8588;5429572.2857;8.35421183300002;49.0172321490001;1
203902;8,23E+018;8;2;12;0;2023;2;11;4;3;1;7;0;0;1;0;0;0;0;1;459628.5644;5427162.0682;8.44808687000005;48.996037841;1
83204;8,23E+018;8;2;12;0;2023;2;12;4;3;0;1;0;1;1;0;0;0;0;0;455800.39;5427029.079;8.39576973400006;48.9945793860001;1
204060;8,23E+018;8;2;12;0;2023;2;7;5;3;5;3;0;0;1;1;0;0;0;0;456615.5843;5428678.7319;8.40673697500006;49.009476051;1
85659;8,23E+018;8;2;12;0;2023;2;8;5;3;5;2;1;0;1;1;0;0;0;0;458879.7194;5428185.0536;8.43774643600005;49.0051903580001;1
265565;8,23E+018;8;2;12;0;2023;2;13;5;3;5;3;0;0;1;0;0;0;0;1;456381.33593373;5425497.43951947;8.40387547400007;48.980843378;2
82877;8,23E+018;8;2;12;0;2023;2;14;5;3;6;4;0;0;1;0;1;0;0;0;455683.8515;5427728.9092;8.39410033900003;49.0008660870001;1
204059;8,23E+018;8;2;12;0;2023;2;17;5;3;5;3;2;0;1;1;0;0;0;0;452742.4602;5428826.5855;8.35375985800005;49.010521543;1
203087;8,23E+018;8;2;12;0;2023;2;19;5;2;2;6;2;0;1;1;0;0;0;0;454291.6226;5429156.6726;8.37490591800002;49.0136073950001;1
204180;8,23E+018;8;2;12;0;2023;2;12;6;2;5;3;0;0;1;0;0;0;0;1;454603.2947;5428822.054;8.37920541500006;49.010620488;1
202158;8,23E+018;8;2;12;0;2023;2;15;6;3;4;6;0;0;1;1;0;0;0;0;455592.6662;5428353.9754;8.39278535100004;49.0064820700001;1
203867;8,23E+018;8;2;12;0;2023;2;19;6;2;6;4;2;0;1;0;1;0;0;0;455693.4735;5428749.7802;8.39412048700007;49.010049619;1
